Sampled_PSU;Pik;Size_Stratum;STRATUM;PSU_ID;PSU_MOS;PSU_MOS.1;ALLOC;threshold;final_populationdom;sampling_fraction;SR;SizeSR;stratum;N_PSU_Stratum;PSU_final_sample_unit;nSR
1;1;146162;1000;330;146162;146162;101;97528.2178217822;197007;0.000512672138553452;1;146162;10001;1;75;0
1;1;50845;1000;309;50845;50845;101;97528.2178217822;197007;0.000512672138553452;1;0;10002;1;26;0
1;1;36195;2000;304;36195;36195;265;49331.320754717;261456;0.00101355486200355;1;0;20001;1;37;0
1;0.537618837751055;63532;2000;342;34156;34156;265;49331.320754717;261456;0.00101355486200355;0;0;20002;2;64;1
0;0.462381162248945;63532;2000;315;29376;29376;265;49331.320754717;261456;0.00101355486200355;0;0;20002;2;0;0
1;0.392074385654195;63238;2000;292;24794;24794;265;49331.320754717;261456;0.00101355486200355;0;0;20003;3;64;1
0;0.310082545305038;63238;2000;293;19609;19609;265;49331.320754717;261456;0.00101355486200355;0;0;20003;3;0;0
0;0.297843069040767;63238;2000;306;18835;18835;265;49331.320754717;261456;0.00101355486200355;0;0;20003;3;0;0
0;0.363861017021367;46941;2000;318;17080;17080;265;49331.320754717;261456;0.00101355486200355;0;0;20004;3;0;0
0;0.32046611704054;46941;2000;343;15043;15043;265;49331.320754717;261456;0.00101355486200355;0;0;20004;3;0;0
1;0.315672865938093;46941;2000;347;14818;14818;265;49331.320754717;261456;0.00101355486200355;0;0;20004;3;48;1
1;0.269582929194956;51550;2000;300;13897;13897;265;49331.320754717;261456;0.00101355486200355;0;0;20005;4;52;1
0;0.267662463627546;51550;2000;314;13798;13798;265;49331.320754717;261456;0.00101355486200355;0;0;20005;4;0;0
0;0.260310378273521;51550;2000;317;13419;13419;265;49331.320754717;261456;0.00101355486200355;0;0;20005;4;0;0
0;0.202444228903977;51550;2000;335;10436;10436;265;49331.320754717;261456;0.00101355486200355;0;0;20005;4;0;0
0;0.0743094471259703;115813;3000;308;8606;8606;2;2895325;115813;0.0000172692184815176;0;0;30001;26;0;0
0;0.0679025670693273;115813;3000;341;7864;7864;2;2895325;115813;0.0000172692184815176;0;0;30001;26;0;0
0;0.0647941077426541;115813;3000;345;7504;7504;2;2895325;115813;0.0000172692184815176;0;0;30001;26;0;0
0;0.0594061115764206;115813;3000;303;6880;6880;2;2895325;115813;0.0000172692184815176;0;0;30001;26;0;0
0;0.052446616528369;115813;3000;344;6074;6074;2;2895325;115813;0.0000172692184815176;0;0;30001;26;0;0
0;0.0481811195634342;115813;3000;313;5580;5580;2;2895325;115813;0.0000172692184815176;0;0;30001;26;0;0
0;0.0458497750684293;115813;3000;325;5310;5310;2;2895325;115813;0.0000172692184815176;0;0;30001;26;0;0
0;0.0446150259470008;115813;3000;329;5167;5167;2;2895325;115813;0.0000172692184815176;0;0;30001;26;0;0
1;0.0445804875100377;115813;3000;321;5163;5163;2;2895325;115813;0.0000172692184815176;0;0;30001;26;2;1
0;0.0439587956447031;115813;3000;328;5091;5091;2;2895325;115813;0.0000172692184815176;0;0;30001;26;0;0
0;0.0396846640705275;115813;3000;295;4596;4596;2;2895325;115813;0.0000172692184815176;0;0;30001;26;0;0
0;0.0385103572137843;115813;3000;326;4460;4460;2;2895325;115813;0.0000172692184815176;0;0;30001;26;0;0
0;0.0340030911901082;115813;3000;294;3938;3938;2;2895325;115813;0.0000172692184815176;0;0;30001;26;0;0
0;0.0338390336145338;115813;3000;297;3919;3919;2;2895325;115813;0.0000172692184815176;0;0;30001;26;0;0
0;0.0295476328218766;115813;3000;312;3422;3422;2;2895325;115813;0.0000172692184815176;0;0;30001;26;0;0
0;0.0295130943849136;115813;3000;346;3418;3418;2;2895325;115813;0.0000172692184815176;0;0;30001;26;0;0
0;0.0294353829017468;115813;3000;319;3409;3409;2;2895325;115813;0.0000172692184815176;0;0;30001;26;0;0
0;0.0285373835407079;115813;3000;331;3305;3305;2;2895325;115813;0.0000172692184815176;0;0;30001;26;0;0
0;0.0273889805116869;115813;3000;302;3172;3172;2;2895325;115813;0.0000172692184815176;0;0;30001;26;0;0
0;0.026706846381667;115813;3000;348;3093;3093;2;2895325;115813;0.0000172692184815176;0;0;30001;26;0;0
0;0.0264305388859627;115813;3000;305;3061;3061;2;2895325;115813;0.0000172692184815176;0;0;30001;26;0;0
0;0.0255929817896091;115813;3000;299;2964;2964;2;2895325;115813;0.0000172692184815176;0;0;30001;26;0;0
0;0.0250403667982005;115813;3000;298;2900;2900;2;2895325;115813;0.0000172692184815176;0;0;30001;26;0;0
0;0.0212325041230259;115813;3000;310;2459;2459;2;2895325;115813;0.0000172692184815176;0;0;30001;26;0;0
0;0.019401966963985;115813;3000;296;2247;2247;2;2895325;115813;0.0000172692184815176;0;0;30001;26;0;0
0;0.0190911210313177;115813;3000;340;2211;2211;2;2895325;115813;0.0000172692184815176;0;0;30001;26;0;0
0;0.113334493358854;17241;4000;332;1954;1954;2;431025;17241;0.000116002552056145;0;0;40001;18;0;0
0;0.0988341743518357;17241;4000;311;1704;1704;2;431025;17241;0.000116002552056145;0;0;40001;18;0;0
0;0.0870019140421089;17241;4000;324;1500;1500;2;431025;17241;0.000116002552056145;0;0;40001;18;0;0
0;0.0815497940954701;17241;4000;320;1406;1406;2;431025;17241;0.000116002552056145;0;0;40001;18;0;0
0;0.0741256307638768;17241;4000;337;1278;1278;2;431025;17241;0.000116002552056145;0;0;40001;18;0;0
0;0.0735456180035961;17241;4000;350;1268;1268;2;431025;17241;0.000116002552056145;0;0;40001;18;0;0
0;0.0655414419117221;17241;4000;307;1130;1130;2;431025;17241;0.000116002552056145;0;0;40001;18;0;0
0;0.0621193666260658;17241;4000;323;1071;1071;2;431025;17241;0.000116002552056145;0;0;40001;18;0;0
0;0.0577692709239603;17241;4000;301;996;996;2;431025;17241;0.000116002552056145;0;0;40001;18;0;0
0;0.0573052607157357;17241;4000;339;988;988;2;431025;17241;0.000116002552056145;0;0;40001;18;0;0
0;0.0509251203526478;17241;4000;327;878;878;2;431025;17241;0.000116002552056145;0;0;40001;18;0;0
1;0.036772809001798;17241;4000;334;634;634;2;431025;17241;0.000116002552056145;0;0;40001;18;2;1
0;0.0317266979873557;17241;4000;322;547;547;2;431025;17241;0.000116002552056145;0;0;40001;18;0;0
0;0.0305086711907662;17241;4000;316;526;526;2;431025;17241;0.000116002552056145;0;0;40001;18;0;0
0;0.0297546546024013;17241;4000;336;513;513;2;431025;17241;0.000116002552056145;0;0;40001;18;0;0
0;0.0237805231715098;17241;4000;338;410;410;2;431025;17241;0.000116002552056145;0;0;40001;18;0;0
0;0.0192564236413201;17241;4000;349;332;332;2;431025;17241;0.000116002552056145;0;0;40001;18;0;0
0;0.0061481352589757;17241;4000;333;106;106;2;431025;17241;0.000116002552056145;0;0;40001;18;0;0
1;0.980211147060861;101067;5000;382;99067;99067;2;2526675;101067;0.0000197888529391394;0;0;50001;2;2;1
0;0.0197888529391394;101067;5000;380;2000;2000;2;2526675;101067;0.0000197888529391394;0;0;50001;2;0;0
1;0.396988436613156;47218;6000;373;18745;18745;2;1180450;47218;0.000042356728366301;0;0;60001;3;2;1
0;0.377101952645178;47218;6000;372;17806;17806;2;1180450;47218;0.000042356728366301;0;0;60001;3;0;0
0;0.225909610741666;47218;6000;354;10667;10667;2;1180450;47218;0.000042356728366301;0;0;60001;3;0;0
0;0.151794534079684;30370;7000;379;4610;4610;2;759250;30370;0.0000658544616397761;0;0;70001;9;0;0
0;0.148271320381956;30370;7000;367;4503;4503;2;759250;30370;0.0000658544616397761;0;0;70001;9;0;0
0;0.146065195917023;30370;7000;381;4436;4436;2;759250;30370;0.0000658544616397761;0;0;70001;9;0;0
0;0.139117550214027;30370;7000;351;4225;4225;2;759250;30370;0.0000658544616397761;0;0;70001;9;0;0
0;0.0886730325979585;30370;7000;360;2693;2693;2;759250;30370;0.0000658544616397761;0;0;70001;9;0;0
0;0.0853803095159697;30370;7000;361;2593;2593;2;759250;30370;0.0000658544616397761;0;0;70001;9;0;0
0;0.082647349357919;30370;7000;355;2510;2510;2;759250;30370;0.0000658544616397761;0;0;70001;9;0;0
0;0.0818241685874218;30370;7000;357;2485;2485;2;759250;30370;0.0000658544616397761;0;0;70001;9;0;0
1;0.0762265393480408;30370;7000;383;2315;2315;2;759250;30370;0.0000658544616397761;0;0;70001;9;2;1
0;0.073308695980089;26518;8000;359;1944;1944;2;662950;26518;0.0000754204691153179;0;0;80001;19;0;0
0;0.0662945923523644;26518;8000;378;1758;1758;2;662950;26518;0.0000754204691153179;0;0;80001;19;0;0
1;0.0656158081303266;26518;8000;364;1740;1740;2;662950;26518;0.0000754204691153179;0;0;80001;19;2;1
0;0.0643336601553662;26518;8000;356;1706;1706;2;662950;26518;0.0000754204691153179;0;0;80001;19;0;0
0;0.0637680066370013;26518;8000;362;1691;1691;2;662950;26518;0.0000754204691153179;0;0;80001;19;0;0
0;0.0634286145259823;26518;8000;374;1682;1682;2;662950;26518;0.0000754204691153179;0;0;80001;19;0;0
0;0.0628252507730598;26518;8000;365;1666;1666;2;662950;26518;0.0000754204691153179;0;0;80001;19;0;0
0;0.0627121200693868;26518;8000;358;1663;1663;2;662950;26518;0.0000754204691153179;0;0;80001;19;0;0
0;0.0621841767855796;26518;8000;352;1649;1649;2;662950;26518;0.0000754204691153179;0;0;80001;19;0;0
0;0.056942454182065;26518;8000;368;1510;1510;2;662950;26518;0.0000754204691153179;0;0;80001;19;0;0
0;0.0558488573798929;26518;8000;363;1481;1481;2;662950;26518;0.0000754204691153179;0;0;80001;19;0;0
0;0.0523418055660306;26518;8000;366;1388;1388;2;662950;26518;0.0000754204691153179;0;0;80001;19;0;0
0;0.0518892827513387;26518;8000;353;1376;1376;2;662950;26518;0.0000754204691153179;0;0;80001;19;0;0
0;0.050644845010936;26518;8000;371;1343;1343;2;662950;26518;0.0000754204691153179;0;0;80001;19;0;0
0;0.0429519571611735;26518;8000;369;1139;1139;2;662950;26518;0.0000754204691153179;0;0;80001;19;0;0
0;0.0410287351987329;26518;8000;370;1088;1088;2;662950;26518;0.0000754204691153179;0;0;80001;19;0;0
0;0.03737084244664;26518;8000;376;991;991;2;662950;26518;0.0000754204691153179;0;0;80001;19;0;0
0;0.0184025944641376;26518;8000;375;488;488;2;662950;26518;0.0000754204691153179;0;0;80001;19;0;0
0;0.00810770042989667;26518;8000;377;215;215;2;662950;26518;0.0000754204691153179;0;0;80001;19;0;0
1;1;92833;9000;8;92833;92833;407;11404.5454545455;92833;0.00438421681944998;1;92833;90001;1;407;0
1;1;33661;10000;51;33661;33661;399;13286.9674185464;106030;0.00376308591907951;1;33661;100001;1;127;0
1;1;18909;10000;11;18909;18909;399;13286.9674185464;106030;0.00376308591907951;1;18909;100002;1;71;0
1;1;15638;10000;40;15638;15638;399;13286.9674185464;106030;0.00376308591907951;1;15638;100003;1;59;0
1;1;14283;10000;13;14283;14283;399;13286.9674185464;106030;0.00376308591907951;1;14283;100004;1;54;0
1;1;13032;10000;4;13032;13032;399;13286.9674185464;106030;0.00376308591907951;1;0;100005;1;49;0
1;1;10507;10000;41;10507;10507;399;13286.9674185464;106030;0.00376308591907951;1;0;100006;1;40;0
0;0.500604422953851;14063;11000;72;7040;7040;641;16060.8424336973;205900;0.00311316172899466;0;0;110001;2;0;0
1;0.499395577046149;14063;11000;15;7023;7023;641;16060.8424336973;205900;0.00311316172899466;0;0;110001;2;44;1
0;0.173928721677985;16639;11000;82;2894;2894;641;16060.8424336973;205900;0.00311316172899466;0;0;1100010;6;0;0
0;0.167858645351283;16639;11000;78;2793;2793;641;16060.8424336973;205900;0.00311316172899466;0;0;1100010;6;0;0
0;0.167798545585672;16639;11000;104;2792;2792;641;16060.8424336973;205900;0.00311316172899466;0;0;1100010;6;0;0
0;0.166055652382956;16639;11000;57;2763;2763;641;16060.8424336973;205900;0.00311316172899466;0;0;1100010;6;0;0
1;0.162930464571188;16639;11000;47;2711;2711;641;16060.8424336973;205900;0.00311316172899466;0;0;1100010;6;52;1
0;0.161427970430915;16639;11000;74;2686;2686;641;16060.8424336973;205900;0.00311316172899466;0;0;1100010;6;0;0
0;0.168653846153846;15600;11000;102;2631;2631;641;16060.8424336973;205900;0.00311316172899466;0;0;1100011;6;0;0
0;0.167884615384615;15600;11000;86;2619;2619;641;16060.8424336973;205900;0.00311316172899466;0;0;1100011;6;0;0
0;0.16775641025641;15600;11000;71;2617;2617;641;16060.8424336973;205900;0.00311316172899466;0;0;1100011;6;0;0
0;0.167435897435897;15600;11000;52;2612;2612;641;16060.8424336973;205900;0.00311316172899466;0;0;1100011;6;0;0
0;0.165064102564103;15600;11000;105;2575;2575;641;16060.8424336973;205900;0.00311316172899466;0;0;1100011;6;0;0
1;0.163205128205128;15600;11000;114;2546;2546;641;16060.8424336973;205900;0.00311316172899466;0;0;1100011;6;49;1
0;0.171442086768482;14798;11000;21;2537;2537;641;16060.8424336973;205900;0.00311316172899466;0;0;1100012;6;0;0
0;0.169414785781862;14798;11000;30;2507;2507;641;16060.8424336973;205900;0.00311316172899466;0;0;1100012;6;0;0
